KOI Name,Set
K00103.01,Unlabeled
K00793.01,Train
K05983.01,Train
K01023.01,Test
K00053.01,Test
K00379.01,Test
K00379.02,Unlabeled
K07632.01,Train
K03674.01,Train
K07633.01,Train
K00378.01,Test
K03702.01,Train
K06274.01,Unlabeled
K02009.01,Unlabeled
K03687.01,Test
K00380.01,Test
K02156.01,Train
K06276.01,Unlabeled
K06277.01,Train
K00488.01,Train
K04655.01,Unlabeled
K01021.01,Train
K03855.01,Train
K06278.01,Train
K04944.01,Test
K03704.01,Train
K04945.01,Test
K07634.01,Train
K04946.01,Test
K06279.01,Train
K06280.01,Train
K04376.01,Test
K00084.01,Train
K04581.01,Unlabeled
K02648.01,Train
K03217.01,Train
K01025.01,Train
K01030.01,Unlabeled
K04947.01,Test
K03709.01,Test
K00489.01,Train
K06282.01,Train
K07635.01,Unlabeled
K04629.01,Train
K04948.01,Train
K02064.01,Unlabeled
K06283.01,Train
K02203.01,Train
K03681.01,Train
K03681.02,Unlabeled
K03835.01,Train
K06284.01,Test
K01031.01,Train
K00299.01,Train
K06285.01,Train
K01976.01,Train
K04600.01,Train
K00400.01,Train
K07636.01,Unlabeled
K03161.01,Test
K03853.01,Train
K06095.01,Test
K04950.01,Train
K03253.01,Train
K06286.01,Train
K06287.01,Test
K04045.01,Train
K04352.01,Train
K04951.01,Train
K04102.01,Train
K04071.01,Test
K04111.01,Train
K04003.01,Train
K06288.01,Train
K06289.01,Train
K02907.01,Test
K04532.01,Train
K06290.01,Test
K04953.01,Train
K07637.01,Test
K04746.01,Train
K08086.01,Test
K00794.01,Train
K01024.01,Train
K03077.01,Unlabeled
K03077.02,Unlabeled
K03053.01,Train
K03053.02,Unlabeled
K01022.01,Test
K01022.02,Train
K03459.01,Unlabeled
K02489.01,Unlabeled
K06096.01,Train
K06292.01,Train
K02979.01,Train
K01094.01,Train
K04387.01,Test
K04400.01,Train
K04702.01,Train
K01942.01,Unlabeled
K01942.02,Unlabeled
K06293.01,Unlabeled
K07638.01,Unlabeled
K01110.01,Train
K01110.02,Train
K03416.01,Unlabeled
K01116.01,Train
K04956.01,Train
K01104.01,Train
K03446.01,Test
K06294.01,Train
K04298.01,Unlabeled
K03259.01,Unlabeled
K01099.01,Train
K01118.01,Unlabeled
K02081.01,Unlabeled
K02896.01,Train
K02232.01,Unlabeled
K02232.02,Unlabeled
K00986.01,Train
K00986.02,Train
K07639.01,Test
K01113.01,Test
K01113.02,Train
K03786.01,Test
K06295.01,Train
K04659.01,Unlabeled
K07640.01,Test
K02170.01,Train
K06296.01,Train
K04857.01,Unlabeled
K06297.01,Test
K02277.01,Train
K01103.01,Unlabeled
K04957.02,Unlabeled
K06298.01,Test
K06299.01,Unlabeled
K03993.01,Train
K03034.01,Unlabeled
K06300.01,Train
K01788.01,Train
K01788.02,Train
K04849.01,Unlabeled
K07641.01,Unlabeled
K02807.01,Unlabeled
K02032.01,Train
K04875.01,Unlabeled
K00197.01,Train
K04959.01,Train
K01824.01,Train
K01824.02,Train
K02692.01,Train
K02335.01,Train
K06301.01,Unlabeled
K03379.01,Train
K03814.01,Test
K06098.01,Train
K04389.01,Unlabeled
K06302.01,Train
K02540.01,Train
K02380.01,Unlabeled
K07642.01,Train
K06099.01,Test
K01119.01,Train
K01119.02,Train
K00264.01,Train
K03648.01,Train
K02186.01,Unlabeled
K01091.01,Train
K06303.01,Train
K03362.01,Train
K04844.01,Unlabeled
K01878.01,Unlabeled
K04963.01,Unlabeled
K03483.01,Unlabeled
K03373.01,Train
K06304.01,Train
K07643.01,Train
K00273.01,Test
K04145.01,Unlabeled
K04091.01,Train
K04395.01,Unlabeled
K03225.01,Unlabeled
K01112.01,Unlabeled
K04720.01,Train
K07644.01,Unlabeled
K06305.01,Test
K04144.01,Unlabeled
K01088.01,Train
K00795.01,Train
K00796.01,Train
K03763.01,Train
K01117.01,Train
K06306.01,Test
K00797.01,Unlabeled
K01115.01,Test
K04114.01,Train
K01950.01,Train
K02784.01,Test
K01111.01,Test
K03380.01,Test
K06307.01,Train
K02099.01,Train
K04965.01,Test
K00798.01,Test
K03277.01,Train
K03945.01,Train
K03203.01,Unlabeled
K02490.01,Unlabeled
K01949.01,Test
K01087.01,Train
K03918.01,Train
K04187.01,Train
K06308.01,Train
K02055.01,Test
K02055.02,Train
K02055.03,Unlabeled
K01786.01,Train
K07645.01,Unlabeled
K01105.01,Test
K02773.01,Test
K00401.01,Train
K00401.02,Train
K00401.03,Train
K07646.01,Train
K01108.01,Train
K01108.02,Train
K01108.03,Test
K03395.01,Unlabeled
K03072.01,Test
K02314.01,Train
K04966.01,Train
K04548.01,Unlabeled
K06309.01,Train
K03996.01,Train
K01100.01,Train
K04055.01,Test
K02917.01,Train
K01107.01,Train
K04031.01,Train
K03992.01,Train
K06100.01,Train
K02150.01,Unlabeled
K02150.02,Unlabeled
K07647.01,Train
K06310.01,Train
K06311.01,Train
K00381.01,Train
K02928.01,Train
K06101.01,Train
K03068.01,Unlabeled
K03068.02,Unlabeled
K03643.01,Test
K00382.01,Train
K01102.01,Test
K01102.02,Train
K01102.03,Test
K01102.04,Train
K07648.01,Unlabeled
K01090.01,Train
K00966.01,Test
K02413.01,Test
K02413.02,Train
K03057.01,Train
K03057.02,Test
K07649.01,Train
K03343.01,Unlabeled
K04967.01,Unlabeled
K01093.01,Train
K02066.01,Unlabeled
K00490.01,Train
K00490.02,Train
K00490.03,Train
K00490.04,Train
K04968.01,Train
K01106.01,Test
K01106.02,Train
K01106.03,Unlabeled
K03515.01,Train
K03185.01,Train
K01098.01,Train
K04141.01,Train
K05984.01,Train
K02863.01,Train
K02824.01,Train
K06312.01,Train
K07650.01,Test
K06313.01,Test
K04347.01,Train
K06314.01,Test
K03977.01,Train
K01101.01,Train
K00799.01,Unlabeled
K01089.01,Test
K01089.02,Unlabeled
K06316.01,Train
K00121.01,Test
K04035.01,Train
K04397.01,Test
K01759.01,Test
K00006.01,Train
K06317.01,Train
K02052.01,Unlabeled
K07651.01,Train
K06319.01,Train
K00377.01,Train
K03781.01,Test
K03084.01,Train
K01830.01,Test
K01830.02,Train
K06321.01,Train
K03635.01,Train
K02157.01,Test
K01994.01,Train
K04174.01,Train
K03011.01,Train
K03075.01,Unlabeled
K01095.01,Unlabeled
K06322.01,Test
K04533.01,Train
K03632.01,Test
K06323.01,Train
K03247.01,Train
K02740.01,Train
K04275.01,Test
K03172.01,Train
K00965.01,Test
K01114.01,Train
K02265.01,Train
K06324.01,Train
K06325.01,Train
K03795.01,Train
K03796.01,Test
K01845.01,Train
K01845.02,Unlabeled
K06326.01,Train
K04972.01,Unlabeled
K00441.01,Test
K03677.01,Train
K04973.01,Train
K06327.01,Train
K03278.01,Train
K00402.01,Train
K02278.01,Train
K02278.02,Train
K03215.01,Train
K00800.01,Train
K00800.02,Train
K04860.01,Train
K06328.01,Train
K01181.01,Train
K03764.01,Test
K01772.01,Train
K07652.01,Train
K02723.01,Unlabeled
K06329.01,Unlabeled
K05985.01,Train
K07653.01,Train
K01196.01,Test
K01196.02,Test
K01196.03,Train
K04112.01,Train
K03590.01,Test
K03448.01,Unlabeled
K03021.01,Train
K00801.01,Train
K06330.01,Train
K00384.01,Train
K07654.01,Train
K02444.01,Train
K04975.01,Train
K06331.01,Unlabeled
K00268.01,Unlabeled
K02662.01,Train
K06332.01,Test
K03582.01,Test
K03415.01,Train
K06333.01,Train
K00549.01,Test
K00549.02,Train
K01204.01,Train
K00300.01,Test
K04527.01,Test
K04980.01,Train
K03509.01,Train
K07655.01,Test
K03876.01,Unlabeled
K06334.01,Train
K02288.01,Unlabeled
K06335.01,Train
K00976.01,Train
K03593.01,Train
K01218.01,Train
K08087.01,Train
K01185.01,Train
K04042.01,Train
K01202.01,Test
K04802.01,Train
K01735.01,Train
K00385.01,Train
K01198.01,Train
K01198.02,Train
K01198.03,Train
K02043.01,Unlabeled
K06336.01,Test
K07656.01,Train
K04982.01,Train
K04205.01,Unlabeled
K00802.01,Unlabeled
K02276.01,Train
K07543.01,Train
K06337.01,Test
K03725.01,Train
K04800.01,Train
K03340.01,Unlabeled
K03340.02,Unlabeled
K05986.01,Train
K07657.01,Train
K00118.01,Train
K05987.01,Train
K02430.01,Test
K08088.01,Train
K03641.01,Test
K03641.02,Train
K04626.01,Unlabeled
K00491.01,Test
K00624.01,Train
K00624.02,Test
K00624.03,Test
K04987.01,Unlabeled
K04137.01,Train
K07658.01,Test
K06338.01,Train
K03628.01,Train
K01217.01,Train
K06339.01,Test
K00069.01,Train
K03279.01,Unlabeled
K06340.01,Test
K01183.01,Train
K03629.01,Test
K02755.01,Unlabeled
K00366.01,Unlabeled
K02126.01,Train
K01177.01,Test
K06342.01,Unlabeled
K03736.01,Test
K04535.01,Unlabeled
K02194.01,Train
K02194.02,Train
K02194.03,Unlabeled
K06343.01,Train
K04191.01,Test
K04357.01,Unlabeled
K03854.01,Test
K04992.01,Unlabeled
K01194.01,Train
K01194.02,Test
K01194.03,Train
K00803.01,Train
K01213.01,Train
K03899.01,Train
K06344.01,Train
K01190.01,Test
K04456.01,Unlabeled
K06345.01,Train
K04307.01,Unlabeled
K00052.01,Train
K03440.01,Train
K03440.02,Train
K00492.01,Train
K00968.01,Train
K03398.01,Train
K03398.02,Unlabeled
K03398.03,Unlabeled
K08242.01,Unlabeled
K03418.01,Train
K01901.01,Unlabeled
K03308.01,Train
K03308.02,Train
K00975.01,Train
K06103.01,Train
K06103.02,Unlabeled
K01221.01,Test
K01221.02,Test
K00804.01,Unlabeled
K00301.01,Train
K00301.02,Train
K03010.01,Train
K00242.01,Train
K01192.02,Train
K06347.01,Train
K04997.01,Train
K04641.01,Train
K01195.01,Train
K03511.01,Train
K03862.01,Train
K03862.02,Test
K04479.01,Train
K07659.01,Train
K02596.01,Test
K07660.01,Train
K07661.01,Test
K04385.01,Unlabeled
K04385.02,Train
K04385.03,Unlabeled
K04999.01,Unlabeled
K01861.01,Unlabeled
K04249.01,Train
K02667.01,Test
K03081.01,Test
K01766.01,Train
K06348.01,Test
K01179.01,Test
K00386.01,Train
K00386.02,Train
K06349.01,Test
K06350.01,Train
K02903.01,Test
K02034.01,Train
K02034.02,Train
K06351.01,Test
K07662.01,Unlabeled
K01214.01,Train
K02279.01,Test
K02279.02,Train
K08243.01,Train
K00302.01,Test
K07663.01,Train
K02750.01,Unlabeled
K06352.01,Unlabeled
K08089.01,Unlabeled
K03893.01,Train
K02536.01,Train
K02808.01,Test
K03966.01,Train
K01207.01,Train
K04476.01,Test
K07664.01,Train
K00387.01,Test
K06353.01,Unlabeled
K02261.01,Test
K08244.01,Train
K00805.01,Train
K03544.01,Train
K03615.01,Train
K00045.01,Train
K03423.01,Unlabeled
K00442.01,Train
K00442.02,Train
K00442.03,Train
K03005.01,Test
K04103.01,Test
K04103.02,Unlabeled
K06355.01,Unlabeled
K01212.01,Train
K01176.01,Test
K07544.01,Train
K07544.02,Train
K02308.01,Train
K07665.01,Train
K07666.01,Test
K03142.01,Unlabeled
K05005.01,Train
K03108.01,Unlabeled
K04057.01,Train
K06356.01,Test
K03520.01,Unlabeled
K03402.01,Train
K05007.01,Unlabeled
K05007.02,Unlabeled
K04853.01,Unlabeled
K06104.01,Unlabeled
K00208.01,Train
K07668.01,Unlabeled
K03963.01,Train
K02141.01,Train
K06358.01,Unlabeled
K01189.01,Test
K04526.01,Unlabeled
K04526.02,Unlabeled
K06359.01,Train
K06360.01,Train
K00388.01,Unlabeled
K06361.01,Unlabeled
K05988.01,Test
K00806.01,Train
K00806.02,Train
K00027.01,Train
K00443.01,Train
K04203.01,Train
K02763.01,Train
K00493.01,Train
K06362.01,Test
K00149.01,Test
K00807.01,Test
K03834.01,Train
K06363.01,Train
K06364.01,Train
K05010.01,Test
K01903.01,Train
K05011.01,Train
K05012.01,Train
K04086.01,Train
K06365.01,Train
K00808.01,Test
K03700.01,Train
K07669.01,Train
K01216.01,Train
K05013.01,Test
K00444.01,Train
K00389.01,Test
K00229.01,Train
K07670.01,Unlabeled
K02995.01,Train
K05014.01,Train
K05015.01,Train
K05016.01,Unlabeled
K03389.01,Unlabeled
K01187.01,Test
K00390.01,Test
K04780.01,Unlabeled
K02284.01,Test
K06366.01,Train
K06367.01,Train
K07671.01,Train
K03808.01,Train
K05989.01,Test
K07672.01,Train
K03002.01,Train
K07673.01,Unlabeled
K01197.01,Train
K05018.01,Train
K06368.01,Unlabeled
K04681.01,Train
K01211.01,Train
K00391.01,Train
K00996.01,Train
K03293.01,Test
K03276.01,Train
K06371.01,Train
K03294.01,Train
K05990.01,Train
K07674.01,Train
K00995.01,Train
K03388.01,Test
K07675.01,Test
K01199.01,Test
K04761.01,Test
K02887.01,Train
K01191.01,Unlabeled
K05020.01,Test
K01188.01,Train
K00004.01,Unlabeled
K02932.01,Test
K00230.01,Test
K01182.01,Test
K03938.01,Train
K04423.01,Train
K05023.01,Train
K02289.01,Train
K02289.02,Train
K04685.01,Unlabeled
K01205.01,Train
K05991.01,Train
K01178.01,Test
K07676.01,Unlabeled
K00809.01,Train
K00221.01,Train
K00221.02,Unlabeled
K04084.01,Test
K04084.03,Unlabeled
K06373.01,Train
K01215.01,Train
K01215.02,Test
K00810.01,Unlabeled
K01193.01,Unlabeled
K00392.01,Train
K00392.02,Train
K03435.01,Test
K02447.01,Test
K01912.01,Test
K05025.01,Train
K04493.01,Train
K08090.01,Train
K04117.01,Train
K07545.01,Train
K02864.01,Train
K03381.02,Train
K01203.01,Train
K01203.02,Train
K01203.03,Test
K01210.01,Train
K04908.01,Train
K05028.01,Train
K04539.01,Test
K00393.01,Train
K03542.01,Train
K00015.01,Train
K01811.01,Test
K00494.01,Test
K01186.01,Train
K02084.01,Unlabeled
K07677.01,Train
K01760.01,Train
K01760.02,Test
K02904.01,Train
K03556.01,Train
K00604.01,Train
K05992.01,Train
K06375.01,Unlabeled
K06376.01,Train
K06377.01,Train
K05032.01,Train
K01881.01,Train
K02684.01,Train
K06107.01,Test
K03793.01,Train
K01184.01,Test
K05993.01,Test
K01180.01,Test
K01220.01,Train
K00231.01,Train
K00969.01,Test
K02519.01,Unlabeled
K07678.01,Unlabeled
K00495.01,Train
K05994.01,Train
K00811.01,Train
K02295.01,Unlabeled
K07679.01,Unlabeled
K06379.01,Train
K02119.01,Train
K00100.01,Unlabeled
K02381.01,Train
K08091.01,Train
K02013.01,Test
K05034.01,Train
K03912.01,Test
K04887.01,Train
K04570.01,Unlabeled
K01201.01,Unlabeled
K04026.01,Train
K01761.01,Unlabeled
K06380.01,Train
K03066.01,Unlabeled
K06382.01,Train
K01318.01,Train
K07680.01,Unlabeled
K02731.01,Test
K01329.01,Train
K03041.01,Unlabeled
K07681.01,Unlabeled
K07682.01,Train
K03525.01,Train
K03785.01,Train
K07547.01,Train
K01328.01,Unlabeled
K02850.01,Train
K06383.01,Train
K03777.01,Train
K01323.01,Train
K06385.01,Train
K03124.01,Train
K05038.01,Train
K01336.01,Train
K01336.02,Train
K01336.03,Train
K01336.04,Unlabeled
K02239.01,Test
K01319.01,Train
K04166.01,Unlabeled
K06386.01,Test
K03594.01,Train
K01322.01,Train
K01339.01,Test
K05040.01,Unlabeled
K01344.01,Train
K07683.01,Train
K04742.01,Train
K04033.01,Test
K02866.01,Train
K00812.01,Train
K00812.02,Train
K00812.03,Train
K00812.04,Train
K02117.01,Unlabeled
K00280.01,Unlabeled
K07684.01,Test
K07685.01,Unlabeled
K07685.02,Unlabeled
K06387.01,Train
K02210.01,Test
K02210.02,Train
K00281.01,Test
K01791.01,Test
K06109.01,Train
K05041.01,Test
K02202.01,Train
K07686.01,Train
K03880.01,Test
K01864.01,Unlabeled
K06388.01,Test
K01768.01,Train
K04046.01,Test
K04046.02,Train
K01330.01,Train
K01330.02,Test
K03156.01,Unlabeled
K03156.02,Train
K03156.03,Test
K03156.04,Train
K01334.01,Train
K01334.02,Test
K06110.01,Train
K06389.01,Test
K03678.01,Test
K01335.01,Test
K04468.01,Train
K01860.01,Test
K01860.02,Test
K01860.03,Unlabeled
K01860.04,Train
K06390.01,Train
K00394.01,Test
K05045.01,Train
K06391.01,Train
K03413.01,Train
K03864.01,Unlabeled
K03864.02,Unlabeled
K01320.01,Train
K00550.01,Train
K00395.01,Test
K08245.01,Test
K02386.01,Unlabeled
K02531.01,Unlabeled
K04427.01,Unlabeled
K02172.01,Unlabeled
K02172.02,Unlabeled
K06393.01,Test
K04836.01,Train
K02998.01,Train
K00185.01,Train
K02728.01,Test
K00144.01,Train
K06394.01,Train
K02709.01,Test
K01934.01,Unlabeled
K03928.01,Train
K01337.01,Train
K05050.01,Test
K06395.01,Train
K02190.01,Train
K00403.01,Train
K00028.01,Train
K03748.01,Train
K04678.01,Train
K02311.03,Train
K02216.01,Unlabeled
K02821.01,Unlabeled
K00222.01,Train
K00222.02,Train
K06396.01,Train
K00396.01,Unlabeled
K07687.01,Unlabeled
K05052.01,Train
K02134.01,Train
K03528.01,Train
K06397.01,Train
K03202.01,Unlabeled
K02122.01,Train
K01895.01,Train
K01895.02,Train
K01895.03,Train
K03358.01,Unlabeled
K06398.01,Test
K00551.01,Train
K00551.02,Train
K02819.01,Train
K04810.01,Unlabeled
K03324.01,Train
K06399.01,Unlabeled
K01331.01,Unlabeled
K02776.01,Test
K00813.01,Test
K05995.01,Test
K01342.01,Train
K01342.02,Train
K01317.01,Test
K05054.01,Test
K08092.01,Train
K01619.01,Unlabeled
K04774.01,Unlabeled
K01615.01,Test
K07689.01,Train
K06400.01,Train
K03439.01,Train
K06401.01,Unlabeled
K01325.01,Train
K06402.01,Train
K07690.01,Test
K06112.01,Train
K01333.01,Train
K02652.01,Test
K06113.01,Train
K01803.01,Unlabeled
K01803.02,Train
K01803.03,Test
K00244.01,Train
K00244.02,Test
K06403.01,Train
K06404.01,Train
K07691.01,Train
K06405.01,Test
K03669.01,Train
K06406.01,Test
K02787.01,Train
K05058.01,Train
K01738.01,Unlabeled
K03258.01,Unlabeled
K05059.01,Train
K06407.01,Train
K02876.01,Train
K02876.02,Train
K02166.01,Test
K08093.01,Train
K06408.01,Train
K03698.01,Train
K01327.01,Train
K06410.01,Train
K07692.01,Train
K02987.01,Train
K04712.01,Train
K06411.01,Train
K03378.01,Train
K00397.01,Test
K06412.01,Train
K07548.01,Train
K02922.01,Test
K04474.01,Train
K07693.01,Unlabeled
K02942.01,Unlabeled
K02942.02,Unlabeled
K03659.01,Test
K01340.01,Test
K07694.01,Test
K07695.01,Train
K02514.01,Test
K06414.01,Train
K06415.01,Test
K08246.01,Unlabeled
K00625.01,Unlabeled
K03168.01,Unlabeled
K06416.01,Test
K00496.01,Train
K02245.01,Train
K01332.01,Train
K01332.02,Train
K01332.03,Train
K05061.01,Test
K06417.01,Train
K02303.01,Train
K02303.02,Unlabeled
K06114.01,Train
K02441.01,Test
K03295.01,Train
K01338.01,Test
K01338.02,Unlabeled
K01338.03,Unlabeled
K01656.01,Unlabeled
K07696.01,Train
K03878.01,Train
K03878.02,Unlabeled
K02229.01,Unlabeled
K04803.01,Train
K04452.01,Unlabeled
K03829.01,Test
K01657.01,Test
K00814.01,Train
K05067.01,Unlabeled
K00626.01,Test
K00626.02,Unlabeled
K02814.01,Test
K01321.01,Train
K06418.01,Train
K02910.01,Train
K07550.01,Train
K06419.01,Train
K02547.01,Unlabeled
K06420.01,Test
K06421.01,Test
K06422.01,Train
K03976.01,Train
K03950.01,Train
K03915.01,Train
K06423.01,Test
K04753.01,Train
K00815.01,Unlabeled
K04847.01,Test
K02024.01,Train
K00223.01,Train
K00223.02,Test
K04506.01,Unlabeled
K04787.01,Test
K06116.01,Test
K02855.01,Unlabeled
K04288.01,Train
K04288.02,Unlabeled
K04288.04,Unlabeled
K04157.01,Unlabeled
K04157.02,Unlabeled
K01324.01,Test
K02576.01,Train
K02691.01,Unlabeled
K04491.01,Train
K08094.01,Train
K00627.01,Test
K00627.02,Train
K06424.01,Test
K05071.01,Unlabeled
K08247.01,Train
K04248.01,Train
K02986.01,Train
K06426.01,Train
K08248.01,Train
K05072.01,Train
K01343.01,Train
K01658.01,Train
K02954.01,Train
K04353.01,Unlabeled
K08249.01,Unlabeled
K06427.01,Train
K07697.01,Train
K06429.01,Train
K03884.01,Train
K03657.01,Train
K04414.01,Train
K05073.01,Train
K04680.01,Unlabeled
K06430.01,Test
K06431.01,Train
K00446.01,Train
K00446.02,Train
K03328.01,Train
K04138.01,Train
K02025.01,Train
K02025.02,Train
K02025.03,Train
K03811.01,Unlabeled
K01326.01,Train
K00628.01,Test
K01805.01,Train
K01805.02,Train
K01805.03,Train
K03437.01,Test
K03437.02,Unlabeled
K08095.01,Train
K04783.01,Train
K04806.01,Train
K00143.01,Unlabeled
K03919.01,Train
K01341.01,Train
K01659.01,Unlabeled
K07698.01,Train
K00629.01,Train
K03580.01,Test
K00630.01,Test
K06432.01,Train
K03805.01,Train
K03187.01,Train
K02930.01,Train
K04642.01,Test
K00816.01,Train
K02393.01,Unlabeled
K02393.02,Unlabeled
K06433.01,Train
K04870.01,Train
K03872.01,Train
K04128.01,Test
K02560.01,Unlabeled
K07699.01,Train
K07700.01,Unlabeled
K06434.01,Train
K04056.01,Unlabeled
K03069.01,Unlabeled
K02766.01,Train
K06435.01,Test
K05075.01,Train
K03664.01,Train
K04219.01,Test
K04425.01,Train
K04049.01,Train
K04707.01,Test
K06436.01,Test
K06437.01,Train
K00817.01,Train
K00817.02,Test
K06438.01,Train
K07702.01,Train
K05076.01,Train
K03184.01,Unlabeled
K03184.03,Unlabeled
K06439.01,Train
K01996.01,Test
K01996.02,Unlabeled
K03330.01,Train
K06117.01,Train
K06441.01,Train
K08096.01,Train
K06442.01,Train
K06443.01,Train
K06119.01,Train
K06444.01,Train
K01534.01,Train
K01534.02,Train
K07703.01,Unlabeled
K00631.01,Train
K06120.01,Unlabeled
K07704.01,Unlabeled
K03572.01,Unlabeled
K00024.01,Train
K04884.01,Test
K04649.01,Unlabeled
K03691.01,Train
K00109.01,Train
K05996.01,Test
K06445.01,Train
K06446.01,Test
K00497.01,Test
K00497.02,Train
K06447.01,Train
K06448.01,Train
K05084.01,Train
K01455.01,Train
K02249.01,Test
K07706.01,Unlabeled
K08097.01,Train
K04825.01,Test
K06451.01,Test
K02077.01,Train
K05086.01,Train
K06452.01,Test
K04058.01,Train
K02971.01,Unlabeled
K02971.02,Unlabeled
K01475.01,Unlabeled
K01475.02,Unlabeled
K01475.03,Unlabeled
K02243.01,Train
K02243.02,Train
K02243.03,Unlabeled
K08250.01,Train
K06453.01,Train
K04367.01,Unlabeled
K07707.01,Test
K01959.01,Train
K05088.01,Unlabeled
K07708.01,Unlabeled
K04004.01,Unlabeled
K00367.01,Unlabeled
K05090.01,Train
K03823.01,Unlabeled
K03533.01,Train
K01524.01,Train
K06121.01,Train
K00632.01,Test
K01496.01,Train
K02395.01,Test
K01660.01,Unlabeled
K02739.01,Train
K02739.02,Unlabeled
K02846.01,Train
K01661.01,Train
K04013.01,Train
K00605.01,Train
K00605.02,Unlabeled
K00232.01,Test
K00232.02,Test
K00232.03,Test
K00232.04,Test
K00232.05,Train
K06456.01,Train
K07709.01,Test
K06457.01,Train
K05093.01,Train
K01541.01,Unlabeled
K04813.01,Unlabeled
K06458.01,Test
K00633.01,Train
K04683.01,Train
K01662.01,Test
K04498.01,Unlabeled
K03469.01,Unlabeled
K04606.01,Test
K02900.01,Unlabeled
K00499.01,Train
K03067.01,Train
K08251.01,Train
K06459.01,Train
K03505.01,Train
K04537.01,Test
K04573.01,Test
K03560.01,Train
K02991.01,Train
K04092.01,Train
K04688.01,Test
K06460.01,Train
K04851.01,Train
K07710.01,Test
K06461.01,Test
K06462.01,Train
K01757.01,Train
K01884.01,Test
K01884.02,Unlabeled
K04695.01,Test
K00500.01,Train
K00500.02,Train
K00500.03,Train
K00500.04,Test
K00500.05,Train
K03061.01,Unlabeled
K03061.02,Train
K02120.01,Unlabeled
K02844.01,Test
K01602.01,Unlabeled
K01602.02,Unlabeled
K01600.01,Train
K02727.01,Train
K00634.01,Test
K04278.01,Train
K02870.01,Train
K06463.01,Train
K06464.01,Test
K06464.03,Train
K05096.01,Train
K06465.01,Train
K06466.01,Train
K03944.01,Train
K06467.01,Test
K04717.01,Test
K06468.01,Train
K03175.01,Train
K06469.01,Train
K05098.01,Unlabeled
K05997.01,Test
K01775.01,Train
K00818.01,Train
K05100.01,Test
K00108.01,Train
K00108.02,Train
K02635.01,Train
K06470.01,Train
K06471.01,Test
K02617.01,Train
K06472.01,Train
K01973.01,Test
K05104.01,Unlabeled
K01582.01,Unlabeled
K04766.01,Unlabeled
K01663.01,Test
K03212.01,Train
K01664.01,Train
K04018.01,Train
K06473.01,Train
K00819.01,Test
K01665.01,Test
K03453.01,Train
K06474.01,Train
K06122.01,Train
K02962.01,Unlabeled
K03743.01,Train
K00820.01,Train
K03290.01,Train
K03715.01,Test
K06475.01,Unlabeled
K01873.01,Train
K01873.02,Train
K02899.01,Unlabeled
K06476.01,Test
K07711.01,Unlabeled
K01561.01,Train
K05108.01,Train
K04377.01,Unlabeled
